10 17956 54491
1 283 -0.390234 0.0222928
0 284 -0.409561 -0.0194632
1 284 -0.37735 0.0210464
0 283 -0.418912 -0.0184245
0 285 -0.43242 -0.0173858
1 285 -0.406443 0.0247857
0 286 -0.403326 -0.0173858
1 286 -0.36779 0.0235393
0 287 0.0299658 -0.0173858
1 287 0.124729 0.0016018
0 288 0.0382784 -0.0173858
1 288 0.138445 0.00110321
0 289 0.156732 -0.0173858
1 289 0.286616 0.00234964
0 290 -0.00640164 -0.0163471
1 290 0.0761005 0.00110321
0 291 0.0206142 -0.0163471
1 291 0.11226 0.00234967
0 292 -0.418912 -0.0153084
1 292 -0.388987 0.0260322
0 293 -0.409561 -0.0153084
1 293 -0.376518 0.0247857
0 294 -0.413717 -0.0142697
1 294 -0.379012 0.0272786
0 295 0.0372393 -0.0142697
1 295 0.134704 0.0035961
0 296 -0.416834 -0.013231
1 296 -0.382753 0.0272786
0 297 -0.408522 -0.0111535
1 297 -0.375271 0.0310179
0 298 -0.403326 -0.0111535
1 298 -0.369037 0.0297715
0 299 -0.370076 -0.0111535
1 299 -0.325396 0.0285251
0 300 -0.429303 -0.0101148
1 300 -0.401456 0.0322644
0 301 0.0143798 -0.00907613
1 301 0.104779 0.00982834
0 302 0.0226923 -0.00907613
1 302 0.116001 0.00982834
0 303 0.0102235 -0.00803742
1 303 0.0985444 0.0110748
0 304 -0.0365347 -0.00699872
1 304 0.0319609 0.00908047
0 305 0.017497 -0.00699872
1 305 0.109766 0.0123212
0 306 0.208686 -0.00596001
1 306 0.340648 0.011698
0 307 0.211803 -0.0049213
1 307 0.342934 0.0123212
0 308 0.0133407 -0.0038826
1 308 0.103532 0.0148142
0 309 -0.460475 -0.00284389
1 309 -0.436369 0.0409895
0 310 -0.46671 -0.000766478
1 310 -0.452828 0.040491
0 311 0.0060672 -0.000766478
1 311 0.0935569 0.0185535
0 312 0.100623 -0.000766478
1 312 0.219076 0.0200077
0 313 0.0143798 0.000272228
1 313 0.106026 0.0197999
0 314 0.266874 0.00131094
1 314 0.397797 0.0160606
0 315 0.321944 0.00234964
1 315 0.448711 0.0137754
0 316 0.0154188 0.00442705
1 316 0.107273 0.0235393
0 317 0.00398906 0.00546576
1 317 0.09231 0.0247857
0 318 -0.011597 0.00650447
1 318 0.0693674 0.0270293
0 319 0.0310049 0.00650447
1 319 0.127223 0.0260322
0 320 -0.0365347 0.00754317
1 320 0.0304646 0.0255336
0 321 0.0341221 0.00754317
1 321 0.130756 0.0283173
0 322 -0.423069 0.00858188
1 322 -0.385662 0.0553237
0 323 0.00502813 0.00858188
1 323 0.09231 0.0285251
0 324 0.018536 0.00858188
1 324 0.109766 0.0285251
0 325 0.0860756 0.00858188
1 325 0.194554 0.0285251
0 326 -0.461514 0.00962059
1 326 -0.444808 0.0526364
0 327 -0.027183 0.00962059
1 327 0.0457264 0.0282259
0 328 -0.00224536 0.0106593
1 328 0.0828337 0.0315165
0 329 0.0123016 0.0106593
1 329 0.102285 0.0310179
0 330 0.0310049 0.0106593
1 330 0.125976 0.0310179
0 331 0.0195751 0.0127367
1 331 0.11226 0.0322644
0 332 0.0341221 0.0127367
1 332 0.130756 0.0324721
0 333 0.14842 0.0148141
1 333 0.275186 0.0355883
0 334 -0.0167923 0.0158528
1 334 0.0618861 0.0360038
0 335 0.00398906 0.0158528
1 335 0.0918113 0.0360038
0 333 0.151537 0.0158528
0 336 -0.0303002 0.0179302
1 336 0.0421354 0.0354055
0 337 0.0060672 0.0179302
1 337 0.0948038 0.0384966
0 338 0.0912709 0.0189689
1 338 0.200373 0.0387044
0 339 -0.296302 0.0220851
1 339 -0.2537 0.0574011
0 340 0.0871146 0.0231238
1 340 0.194554 0.0434824
0 341 0.00710627 0.0241625
1 341 0.0948038 0.0447289
0 342 0.117248 0.0241625
1 342 0.230506 0.0428592
0 343 0.124521 0.0241625
1 343 0.238195 0.042236
0 344 0.0123016 0.0262399
1 344 0.102701 0.047014
0 345 0.121404 0.0262399
1 345 0.234455 0.0447289
0 346 0.0154188 0.0272786
1 346 0.107273 0.0484682
0 347 0.0237314 0.0272786
1 347 0.117248 0.0484682
0 348 0.20349 0.0283173
1 348 0.219492 0.0185535
0 349 0.0829584 0.029356
1 349 0.189567 0.0497147
0 350 0.131795 0.029356
1 350 0.245677 0.0472218
0 351 -0.0157533 0.0303947
1 351 0.0648786 0.0497147
0 352 0.0226923 0.0314334
1 352 0.115751 0.0524569
0 353 0.0808802 0.0324721
1 353 0.187073 0.0522076
0 354 0.0268486 0.0335108
1 354 0.120988 0.053454
0 355 0.0102235 0.0355883
1 355 0.0995918 0.0569441
0 356 0.162967 0.0355883
1 356 0.280382 0.0532463
0 357 -0.00120629 0.036627
1 357 0.0835818 0.0571934
0 358 0.17024 0.036627
1 358 0.287655 0.054285
0 359 -0.315005 0.0376657
1 359 -0.269286 0.0760978
0 360 0.174396 0.0376657
1 360 0.29285 0.0553237
0 361 -0.303576 0.0387044
1 361 -0.258896 0.0760978
0 362 -0.280716 0.0387044
1 362 -0.238114 0.0729817
0 363 -0.393975 0.0397431
1 363 -0.355321 0.0846152
0 364 0.0829584 0.0407818
1 364 0.189567 0.0621791
0 365 -0.404365 0.0418205
1 365 -0.366959 0.0885623
0 366 0.17024 0.0418205
1 366 0.287655 0.0584398
0 367 0.1931 0.0418205
1 367 0.311554 0.0574011
0 368 0.172318 0.0428592
1 368 0.289733 0.0594785
0 369 -0.348256 0.0438979
1 369 -0.302952 0.0858617
0 370 0.0746458 0.0438979
1 370 0.180839 0.0646721
0 371 0.0829584 0.0438979
1 371 0.189983 0.0636333
0 372 0.206608 0.0438979
1 372 0.325062 0.0605172
0 373 -0.423069 0.0449366
1 373 -0.388987 0.0933403
0 374 -0.383584 0.0449366
1 374 -0.342852 0.0908475
0 375 -0.366959 0.0449366
1 375 -0.324149 0.089601
0 376 -0.0240658 0.0449366
1 376 0.049916 0.0644228
0 377 0.212842 0.0449366
1 377 0.331296 0.0605172
0 378 -0.397092 0.0459753
1 378 -0.358646 0.0916784
0 379 -0.327474 0.0459753
1 379 -0.281755 0.0871081
0 380 0.0164579 0.0459753
1 380 0.107273 0.067165
0 381 0.172318 0.0459753
1 381 0.289318 0.0634256
0 382 0.187904 0.0459753
1 382 0.306358 0.0625946
0 383 0.219076 0.0459753
1 383 0.33753 0.0615559
0 384 0.15881 0.047014
1 384 0.275186 0.064672
0 385 0.161928 0.047014
1 385 0.278303 0.064672
0 386 0.225311 0.047014
1 386 0.343765 0.0625946
0 387 -0.361763 0.0480527
1 387 -0.317915 0.0920939
0 388 0.150498 0.0480527
1 388 0.265835 0.0657107
0 389 0.238819 0.0480527
1 389 0.356234 0.0625946
0 390 0.134912 0.0490914
1 390 0.249417 0.067165
0 391 0.245053 0.0490914
1 391 0.363507 0.0625946
0 392 0.253366 0.0490914
1 392 0.370781 0.0625946
0 393 0.260639 0.0490914
1 393 0.377015 0.0625946
0 394 0.0154188 0.0501301
1 394 0.106026 0.0709043
0 395 0.0652942 0.0501301
1 395 0.169201 0.0709043
0 396 0.0839974 0.0501301
1 396 0.191022 0.0698656
0 397 0.0902318 0.0501301
1 397 0.198295 0.0696578
0 398 0.200373 0.0501301
1 398 0.318827 0.0657107
0 399 0.264796 0.0501301
1 399 0.381171 0.0625946
0 400 0.277264 0.0501301
1 400 0.39364 0.0625946
0 401 0.294929 0.0501301
1 401 0.409226 0.0615559
0 402 0.33753 0.0501301
1 402 0.447672 0.0563624
0 403 -0.391897 0.0511689
1 403 -0.352827 0.0970797
0 404 -0.337865 0.0511689
1 404 -0.292146 0.0937558
0 405 0.0195751 0.0522076
1 405 0.111013 0.0733972
0 406 0.278303 0.0522076
1 406 0.39364 0.064672
0 407 -0.36592 0.0532463
1 407 -0.322279 0.0979106
0 408 0.063216 0.0532463
1 408 0.165876 0.0746436
0 409 0.264796 0.0532463
1 409 0.38221 0.064672
0 410 0.0590598 0.054285
1 410 0.160889 0.0758901
0 411 0.0891928 0.054285
1 411 0.198295 0.0740204
0 412 0.210764 0.054285
1 412 0.328179 0.0698656
0 413 0.395718 0.054285
1 413 0.495469 0.0563624
0 414 -0.385662 0.0553237
1 414 -0.344099 0.102066
0 415 0.302202 0.0553237
1 415 0.415461 0.0657107
0 416 -0.356568 0.0563624
1 416 -0.31168 0.100819
0 417 0.018536 0.0563624
1 417 0.109766 0.0771365
0 418 0.173357 0.0584398
1 418 0.289733 0.0750591
0 419 0.408187 0.0584398
1 419 0.503782 0.0594785
0 420 -0.413717 0.0594785
1 420 -0.37735 0.108298
0 421 -0.385662 0.0594785
1 421 -0.345346 0.107051
0 422 0.13699 0.0594785
1 422 0.251288 0.0781752
0 423 0.150498 0.0605172
1 423 0.265835 0.0781752
0 424 0.153615 0.0605172
1 424 0.268952 0.0781752
0 425 0.189983 0.0605172
1 425 0.306774 0.0758901
0 426 -0.404365 0.0615559
1 426 -0.366543 0.109544
0 427 0.0580207 0.0615559
1 427 0.159642 0.0833688
0 428 0.00814534 0.0625946
1 428 0.0960507 0.0846152
0 429 0.227389 0.0625946
1 429 0.344804 0.0760978
0 430 0.257522 0.0625946
1 430 0.373898 0.0750591
0 431 0.215959 0.0636333
1 431 0.333374 0.0781752
0 432 0.314671 0.0636333
1 432 0.42689 0.0729817
0 433 0.0642551 0.064672
1 433 0.167123 0.0846152
0 434 0.0829584 0.064672
1 434 0.188943 0.0854462
0 435 0.225311 0.064672
1 435 0.342726 0.0792139
0 436 0.179592 0.0657107
1 436 0.297007 0.0833688
0 437 0.213881 0.0657107
1 437 0.331296 0.0812913
